layer_name,parameter_shape,parameter_norm,gradient_norm,update_norm,update_to_weight_ratio,learning_rate,warmup_fraction,schedule_multiplier,optimizer_step,execution_mode
blocks.0.mlp.fc1.weight,"[256, 64]",9.292591094970703,0.12063951790332794,0.008549941703677177,0.0009200815592009144,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.mlp.fc1.bias,[256],1.1809478998184204,0.015117757022380829,0.0011499589309096336,0.0009737592412725815,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.mlp.fc2.weight,"[64, 256]",4.587683200836182,0.2448209822177887,0.008615231141448021,0.0018779045466517286,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.mlp.fc2.bias,[64],0.277019202709198,0.045369669795036316,0.0006089117960073054,0.002198085150965195,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.ln1.weight,[64],7.999921798706055,0.012882249429821968,0.0004784786724485457,5.9810418712585056e-05,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.ln1.bias,[64],0.0010630940087139606,0.015696175396442413,0.0006142056663520634,0.5777529186671614,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.attn.qkv.weight,"[192, 64]",8.015473365783691,0.1752210557460785,0.007261414546519518,0.0009059246054658373,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.attn.proj.weight,"[64, 64]",4.575314044952393,0.13954830169677734,0.004088985733687878,0.0008937060261904764,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.ln2.weight,[64],8.000174522399902,0.007561052218079567,0.00044947711285203695,5.6183413448485904e-05,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.ln2.bias,[64],0.0009815678931772709,0.0077391392551362514,0.0005573304370045662,0.5677961156619784,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.mlp.fc1.weight,"[256, 64]",9.2420072555542,0.11220137029886246,0.008310787379741669,0.0008992405166904741,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.mlp.fc1.bias,[256],1.1366342306137085,0.013543879613280296,0.001134130754508078,0.0009977974655010356,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.mlp.fc2.weight,"[64, 256]",4.634537220001221,0.2154528945684433,0.008458136580884457,0.001825022905066286,0.00011999999999999999,0.4,0.4,3,smoke
blocks.1.mlp.fc2.bias,[64],0.28913700580596924,0.04200289025902748,0.0005962458672001958,0.002062156884893239,0.00011999999999999999,0.4,0.4,3,smoke
ln_f.weight,[64],7.999769687652588,0.06155620142817497,0.0005659825983457267,7.074986161405427e-05,0.00011999999999999999,0.4,0.4,3,smoke
ln_f.bias,[64],0.0011147625045850873,0.06151269003748894,0.0006120885955169797,0.5490753348802291,0.00011999999999999999,0.4,0.4,3,smoke
lm_head.weight,"[33, 64]",3.3510992527008057,0.8608055710792542,0.0034619749058037996,0.0010330863530865683,0.00011999999999999999,0.4,0.4,3,smoke
token_emb.weight,"[33, 64]",46.13386917114258,0.0456196591258049,0.0023491019383072853,5.0919248277070233e-05,0.00015,0.5,0.5,4,smoke
